author_label	batch	chemistry	donor_id	group	input_mitochondrial_pct_median	input_mitochondrial_pct_q25	input_mitochondrial_pct_q75	input_n_features_median	input_n_features_q25	input_n_features_q75	input_umi	low_cell_flag	low_retention_flag	rejected_high_features	rejected_high_mito	rejected_low_features	rejected_union	rejected_zero_counts	retained	retained_mitochondrial_pct_median	retained_mitochondrial_pct_q25	retained_mitochondrial_pct_q75	retained_n_features_median	retained_n_features_q25	retained_n_features_q75	retained_umi	retention	sample_id	setting	status	supplied	upstream_filtering_status	retained_genes
Patients-Late_group#1	First	5prime_v1.1	GSM8700986	Late	2.7852771975	2.1765462975	3.52402847116	1437	1242	1654	45312824	False	False	0	19	0	19	0	10731	2.78338945006	2.17548434461	3.51940469036	1437	1243	1655	45295950	0.99823255814	GSM8700986	baseline	retained	10750	unknown	22477
Patients-Late_group#1	First	5prime_v1.1	GSM8700986	Late	2.7852771975	2.1765462975	3.52402847116	1437	1242	1654	45312824	False	False	1	231	207	360	0	10390	2.75806140592	2.16928505316	3.45816607938	1448	1263	1665	44920538	0.966511627907	GSM8700986	strict	retained	10750	unknown	22400
Patients-Late_group#2	First	5prime_v1.1	GSM8700987	Late	2.61734135808	2.02199178791	3.60526629506	1280	1056	1496	46472052	False	False	0	57	0	57	0	12013	2.61295590637	2.01874549387	3.58047016275	1282	1060	1498	46428925	0.995277547639	GSM8700987	baseline	retained	12070	unknown	21245
Patients-Late_group#2	First	5prime_v1.1	GSM8700987	Late	2.61734135808	2.02199178791	3.60526629506	1280	1056	1496	46472052	False	False	0	789	439	943	0	11127	2.52079657172	1.98246675539	3.26473445188	1312	1124	1519.5	45606282	0.921872410936	GSM8700987	strict	retained	12070	unknown	21095
Patients-Late_group#3	Second	5prime_v2.0	GSM8700988	Late	3.63267148014	2.92514911455	4.41456909889	1816	1608	2089	59162189	False	False	0	29	0	29	0	10902	3.62807187414	2.92386614949	4.40691666269	1817	1609.25	2089.75	59128762	0.997346994785	GSM8700988	baseline	retained	10931	unknown	23104
Patients-Late_group#3	Second	5prime_v2.0	GSM8700988	Late	3.63267148014	2.92514911455	4.41456909889	1816	1608	2089	59162189	False	False	10	193	49	222	0	10709	3.60957642726	2.91091593476	4.36143572621	1823	1620	2093	58521366	0.979690787668	GSM8700988	strict	retained	10931	unknown	23027
Patients-Late_group#4	Second	5prime_v2.0	GSM8700989	Late	3.12708574838	2.49484105928	3.84145496342	1821	1600	2072	59439448	False	False	0	16	0	16	0	11028	3.1243564682	2.49327292294	3.83665568814	1821	1601	2073	59424142	0.998551249547	GSM8700989	baseline	retained	11044	unknown	22596
Patients-Late_group#4	Second	5prime_v2.0	GSM8700989	Late	3.12708574838	2.49484105928	3.84145496342	1821	1600	2072	59439448	False	False	4	131	23	140	0	10904	3.11027051529	2.48618479923	3.80967584991	1825	1609	2077	59126124	0.987323433539	GSM8700989	strict	retained	11044	unknown	22551
Patients-Late_group#5	Second	5prime_v2.0	GSM8700990	Late	3.61271676301	2.86098310292	4.5621045621	1693	945	2113	73529098	False	False	1	32	0	33	0	16556	3.61050328228	2.85928294292	4.55338196909	1695	949	2114	73455107	0.998010730002	GSM8700990	baseline	retained	16589	unknown	23779
Patients-Late_group#5	Second	5prime_v2.0	GSM8700990	Late	3.61271676301	2.86098310292	4.5621045621	1693	945	2113	73529098	False	False	17	531	810	1310	0	15279	3.5406885759	2.81593176021	4.39576649932	1768	1091	2148	71729906	0.921032009163	GSM8700990	strict	retained	16589	unknown	23640
Patients-Late_group#6	Second	5prime_v2.0	GSM8700991	Late	2.60904602317	2.02290357967	3.37103236706	2048	1739	2343	50170436	False	False	1	16	0	17	0	8753	2.6048026048	2.02220923437	3.36522036215	2049	1742	2344	50117193	0.998061573546	GSM8700991	baseline	retained	8770	unknown	22594
Patients-Late_group#6	Second	5prime_v2.0	GSM8700991	Late	2.60904602317	2.02290357967	3.37103236706	2048	1739	2343	50170436	False	False	6	232	47	259	0	8511	2.5750111957	2.00516638435	3.28180651579	2062	1772	2354	49634903	0.970467502851	GSM8700991	strict	retained	8770	unknown	22511
Patients-Early_group#1	First	5prime_v1.1	GSM8700992	Early	2.77906438166	2.19463533585	3.53307932109	1439	1214	1678	52317333	False	False	0	66	0	66	0	11727	2.77125410991	2.19078820618	3.51430781011	1441	1218.5	1679	52268724	0.994403459679	GSM8700992	baseline	retained	11793	unknown	21874
Patients-Early_group#1	First	5prime_v1.1	GSM8700992	Early	2.77906438166	2.19463533585	3.53307932109	1439	1214	1678	52317333	False	False	0	459	287	536	0	11257	2.73081924577	2.16705238797	3.40567612688	1457	1247	1692	51802842	0.954549308912	GSM8700992	strict	retained	11793	unknown	21773
Patients-Early_group#2	First	5prime_v1.1	GSM8700993	Early	2.67166042447	1.98786629872	3.66702068642	1456	1226	1680	51975310	False	False	0	72	0	72	0	11623	2.66439909297	1.98398208128	3.64095877073	1459	1231	1683	51923603	0.993843522873	GSM8700993	baseline	retained	11695	unknown	22021
Patients-Early_group#2	First	5prime_v1.1	GSM8700993	Early	2.67166042447	1.98786629872	3.66702068642	1456	1226	1680	51975310	False	False	2	666	460	764	0	10931	2.58260539309	1.94966309459	3.41842181882	1482	1278	1699	51193495	0.934672937153	GSM8700993	strict	retained	11695	unknown	21875
Patients-Early_group#3	Second	5prime_v2.0	GSM8700994	Early	3.76104665671	2.65808350032	6.9326139856	1950	1330	2371.75	34645082	False	False	1	50	0	51	0	7143	3.73858447489	2.64895921046	6.83115465826	1955	1344	2374	34557430	0.992910758966	GSM8700994	baseline	retained	7194	unknown	22302
Patients-Early_group#3	Second	5prime_v2.0	GSM8700994	Early	3.76104665671	2.65808350032	6.9326139856	1950	1330	2371.75	34645082	False	False	6	875	91	919	0	6275	3.43725019984	2.55203464416	5.33751610035	2073	1563	2431	32958482	0.872254656658	GSM8700994	strict	retained	7194	unknown	22010
Patients-Early_group#4	Second	5prime_v2.0	GSM8700995	Early	2.61871271996	2.0442116329	3.33034847039	1732	1476	1983	54052681	False	False	0	5	0	5	0	10861	2.61803206354	2.04386095778	3.32880434783	1732	1477	1983	54047144	0.99953984907	GSM8700995	baseline	retained	10866	unknown	22776
Patients-Early_group#4	Second	5prime_v2.0	GSM8700995	Early	2.61871271996	2.0442116329	3.33034847039	1732	1476	1983	54052681	False	False	0	107	152	230	0	10636	2.59694403884	2.03271859243	3.29597999602	1740	1499	1990	53832302	0.978833057243	GSM8700995	strict	retained	10866	unknown	22736
Patients-Early_group#5	Second	5prime_v2.0	GSM8700996	Early	3.2604311389	2.65074522412	4.00748063647	1897	1655	2178	70883353	False	False	1	18	0	19	0	11627	3.25695581015	2.65013332532	4.00314961611	1898	1656	2178.5	70828896	0.998368538554	GSM8700996	baseline	retained	11646	unknown	23140
Patients-Early_group#5	Second	5prime_v2.0	GSM8700996	Early	3.2604311389	2.65074522412	4.00748063647	1897	1655	2178	70883353	False	False	9	152	14	165	0	11481	3.24311143624	2.63978382873	3.97400649838	1904	1666	2181	70359423	0.985832045337	GSM8700996	strict	retained	11646	unknown	23077
Patients-Early_group#6	Second	5prime_v2.0	GSM8700997	Early	3.02959028718	2.44016847807	3.75482917877	1880	1635	2142	60014803	False	False	0	19	0	19	0	10629	3.02778929905	2.43855972566	3.75058602907	1881	1636	2142	59985184	0.998215627348	GSM8700997	baseline	retained	10648	unknown	22825
Patients-Early_group#6	Second	5prime_v2.0	GSM8700997	Early	3.02959028718	2.44016847807	3.75482917877	1880	1635	2142	60014803	False	False	5	163	35	181	0	10467	3.01061295213	2.43002304886	3.71878698162	1886	1648	2147	59604258	0.98300150263	GSM8700997	strict	retained	10648	unknown	22763
Patients-Early_group#7	Second	5prime_v2.0	GSM8700998	Early	4.29378383788	3.51992572792	5.16265635032	1863	1637	2121.25	62177140	False	False	1	56	0	57	0	11007	4.28594274748	3.5159037428	5.14489489017	1866	1641	2124	62070491	0.994848156182	GSM8700998	baseline	retained	11064	unknown	22722
Patients-Early_group#7	Second	5prime_v2.0	GSM8700998	Early	4.29378383788	3.51992572792	5.16265635032	1863	1637	2121.25	62177140	False	False	3	228	63	277	0	10787	4.26340227944	3.51256689751	5.09810068469	1874	1652.5	2132	61417905	0.97496384671	GSM8700998	strict	retained	11064	unknown	22674
Patients-Early_group#8	Second	5prime_v2.0	GSM8700999	Early	3.32786707721	2.74471100277	4.04460452876	1980	1729	2280.75	72487741	False	False	3	11	0	14	0	11876	3.32676216993	2.74449829757	4.04342349882	1980	1729	2281	72340756	0.99882253995	GSM8700999	baseline	retained	11890	unknown	23200
Patients-Early_group#8	Second	5prime_v2.0	GSM8700999	Early	3.32786707721	2.74471100277	4.04460452876	1980	1729	2280.75	72487741	False	False	16	183	13	207	0	11683	3.30975698223	2.73431726648	4.00519653877	1987	1739	2284	71648785	0.982590412111	GSM8700999	strict	retained	11890	unknown	23128
Patients-Early_group#9	Second	5prime_v2.0	GSM8701000	Early	3.20030120482	2.5074580547	4.06039075187	2117	1840	2409	57486468	False	False	3	26	0	29	0	9470	3.19621555457	2.50422077608	4.05098110531	2118	1843	2409	57346222	0.996947047058	GSM8701000	baseline	retained	9499	unknown	23574
Patients-Early_group#9	Second	5prime_v2.0	GSM8701000	Early	3.20030120482	2.5074580547	4.06039075187	2117	1840	2409	57486468	False	False	21	227	78	289	0	9210	3.1688800662	2.49372380569	3.97277105504	2129	1872.25	2416	56345983	0.969575744815	GSM8701000	strict	retained	9499	unknown	23459
Patients-Early_group#10	Second	5prime_v2.0	GSM8701001	Early	2.84410161128	2.25443853188	3.57690632464	2082	1835	2381	77131739	False	False	2	21	0	23	0	12333	2.84250537101	2.2536687631	3.57340720222	2082	1836	2381	77037959	0.998138556167	GSM8701001	baseline	retained	12356	unknown	23507
Patients-Early_group#10	Second	5prime_v2.0	GSM8701001	Early	2.84410161128	2.25443853188	3.57690632464	2082	1835	2381	77131739	False	False	25	217	26	256	0	12100	2.82021811748	2.24177894406	3.52974529151	2090	1850	2386	76141236	0.979281320816	GSM8701001	strict	retained	12356	unknown	23442
Patients-Early_group#11	Second	5prime_v2.0	GSM8701002	Early	2.58922209115	2.01317593303	3.30297600676	1845	1584	2127	61660187	False	False	1	10	0	11	0	11243	2.58789933964	2.01271800488	3.30027284143	1846	1585	2128	61621925	0.999022569753	GSM8701002	baseline	retained	11254	unknown	23044
Patients-Early_group#11	Second	5prime_v2.0	GSM8701002	Early	2.58922209115	2.01317593303	3.30297600676	1845	1584	2127	61660187	False	False	5	223	109	289	0	10965	2.56363303424	2.00840115516	3.25171400588	1857	1606	2136	60967050	0.974320241692	GSM8701002	strict	retained	11254	unknown	22960
Healthy_group#1	First	5prime_v1.1	GSM8701003	Healthy	2.81304456062	2.14677983025	4.20243204578	1410	1084	1648	38109227	False	False	0	62	0	62	0	10227	2.80418250951	2.1428265736	4.13722295196	1412	1095	1649.5	38049140	0.993974147147	GSM8701003	baseline	retained	10289	unknown	22060
Healthy_group#1	First	5prime_v1.1	GSM8701003	Healthy	2.81304456062	2.14677983025	4.20243204578	1410	1084	1648	38109227	False	False	2	951	410	1089	0	9200	2.66548186185	2.08333333333	3.52303523035	1455	1223.75	1680	36907615	0.89415881038	GSM8701003	strict	retained	10289	unknown	21799
Healthy_group#2	First	5prime_v1.1	GSM8701004	Healthy	2.93637846656	2.24969598703	3.85584677419	1389	1111	1602	30071298	False	False	0	16	0	16	0	8389	2.9352734571	2.24804724709	3.84724992875	1390	1114	1602	30057966	0.998096371208	GSM8701004	baseline	retained	8405	unknown	21125
Healthy_group#2	First	5prime_v1.1	GSM8701004	Healthy	2.93637846656	2.24969598703	3.85584677419	1389	1111	1602	30071298	False	False	0	318	320	575	0	7830	2.86735926694	2.21490429333	3.68492458411	1416	1189	1619	29527731	0.931588340274	GSM8701004	strict	retained	8405	unknown	21017
Healthy_group#3	First	5prime_v1.1	GSM8701005	Healthy	2.91637446789	2.23804723502	3.74691352479	1364	1177	1558	40433277	False	False	0	17	0	17	0	10503	2.91358024691	2.23688790542	3.74304655679	1364	1179	1558	40421669	0.998384030418	GSM8701005	baseline	retained	10520	unknown	21043
Healthy_group#3	First	5prime_v1.1	GSM8701005	Healthy	2.91637446789	2.23804723502	3.74691352479	1364	1177	1558	40433277	False	False	0	291	98	323	0	10197	2.87453500169	2.22057735011	3.64864864865	1374	1199	1566	40083640	0.969296577947	GSM8701005	strict	retained	10520	unknown	20999
Healthy_group#4	First	5prime_v1.1	GSM8701006	Healthy	2.25247524752	1.72378087933	2.92279002163	1351	976	1604.5	43308246	False	False	0	6	0	6	0	12453	2.2514619883	1.72368764691	2.92106898695	1351	977	1605	43304324	0.999518420419	GSM8701006	baseline	retained	12459	unknown	21482
Healthy_group#4	First	5prime_v1.1	GSM8701006	Healthy	2.25247524752	1.72378087933	2.92279002163	1351	976	1604.5	43308246	False	False	0	138	465	557	0	11902	2.23056150101	1.71537867859	2.8713987875	1374	1042	1619	42888568	0.955293362228	GSM8701006	strict	retained	12459	unknown	21387
Healthy_group#5	Second	5prime_v2.0	GSM8701007	Healthy	3.77323420074	2.91835980791	5.06329113924	2051	1597	2379	58307892	False	False	1	222	0	223	0	10018	3.73543983248	2.89757257844	4.91784957899	2066	1654.25	2387	58054409	0.978224782736	GSM8701007	baseline	retained	10241	unknown	23369
Healthy_group#5	Second	5prime_v2.0	GSM8701007	Healthy	3.77323420074	2.91835980791	5.06329113924	2051	1597	2379	58307892	False	False	14	1160	303	1203	0	9038	3.57206202807	2.80202432055	4.45617644563	2117	1819	2425	56410290	0.882531002832	GSM8701007	strict	retained	10241	unknown	23151
Healthy_group#6	Second	5prime_v2.0	GSM8701008	Healthy	2.84013605442	2.25284919162	3.54115652665	1704	1459	1970	50248131	False	False	0	15	0	15	0	9546	2.83780421647	2.25203693177	3.53630205676	1704	1461	1970	50232402	0.998431126451	GSM8701008	baseline	retained	9561	unknown	22792
Healthy_group#6	Second	5prime_v2.0	GSM8701008	Healthy	2.84013605442	2.25284919162	3.54115652665	1704	1459	1970	50248131	False	False	3	188	48	206	0	9355	2.81340504758	2.24135920703	3.49488194582	1714	1479	1977	49904355	0.978454136597	GSM8701008	strict	retained	9561	unknown	22726
Healthy_group#7	Second	5prime_v2.0	GSM8701009	Healthy	3.15992671112	2.31872604506	5.36997622894	2148	1623.25	2529	43286084	False	False	2	17	0	19	0	7855	3.15762340508	2.31721326613	5.35232188559	2150	1627	2529	43202469	0.997586995174	GSM8701009	baseline	retained	7874	unknown	22632
Healthy_group#7	Second	5prime_v2.0	GSM8701009	Healthy	3.15992671112	2.31872604506	5.36997622894	2148	1623.25	2529	43286084	False	False	10	410	84	486	0	7388	3.07143526064	2.28829752635	4.84894041824	2197.5	1744	2555	42208882	0.938277876556	GSM8701009	strict	retained	7874	unknown	22495
Healthy_group#8	Second	5prime_v2.0	GSM8701010	Healthy	3.10925579387	2.33598840832	4.60816544802	1949	1543	2271	61295611	False	False	0	21	0	21	0	11206	3.10557060982	2.3347635475	4.59285222396	1950	1545	2272	61261428	0.998129509219	GSM8701010	baseline	retained	11227	unknown	23019
Healthy_group#8	Second	5prime_v2.0	GSM8701010	Healthy	3.10925579387	2.33598840832	4.60816544802	1949	1543	2271	61295611	False	False	5	805	119	912	0	10315	2.99760191847	2.29636719685	4.10902433107	1998	1667	2305.5	59669474	0.918767257504	GSM8701010	strict	retained	11227	unknown	22848
Healthy_group#9	Second	5prime_v2.0	GSM8701011	Healthy	3.35877750615	2.66394378156	4.43152911348	1834	1508	2124	63169505	False	False	0	51	0	51	0	11777	3.35403726708	2.66147354755	4.41124155105	1837	1516	2125	63108238	0.995688197497	GSM8701011	baseline	retained	11828	unknown	22810
Healthy_group#9	Second	5prime_v2.0	GSM8701011	Healthy	3.35877750615	2.66394378156	4.43152911348	1834	1508	2124	63169505	False	False	6	838	94	885	0	10943	3.25557103064	2.61837416904	4.11041620704	1873	1606	2147.5	61640350	0.925177544809	GSM8701011	strict	retained	11828	unknown	22628
